Title,Media URL,Pinterest board,Description,Link,Publish date,Keywords
Six Animated Dark Fantasy Stream Scenes for Twitch,https://endocraft.app/free/pins/pin_stream_six_scenes.jpg,Twitch Overlays & Animated Stream Scenes,"Starting Soon, Be Right Back, Just Chatting, Intermission, Stream Ending and Offline — six cinematic backgrounds from one dark fantasy world, all looping seamlessly at 1920 x 1080 and 60 fps. Built for Twitch, YouTube and Kick. See all six scenes and grab a free one at endocraft.app.",https://endocraft.app/streamers/?utm_source=pinterest&utm_medium=social&utm_campaign=stream_six_scenes,2026-08-05 18:00,"twitch overlay, animated stream overlay, dark fantasy, stream scenes, starting soon screen, twitch backgrounds"
A Starting Soon Screen That Sets the Mood,https://endocraft.app/free/pins/pin_stream_starting_soon.jpg,Twitch Overlays & Animated Stream Scenes,"A ruined cathedral in the rain, looping quietly behind your countdown. No jump, no fade, no watermark — just a cinematic dark fantasy background that makes people wait for the stream to start. 1920 x 1080, 60 fps, works as an OBS media source.",https://endocraft.app/streamers/?utm_source=pinterest&utm_medium=social&utm_campaign=stream_starting_soon,2026-08-06 18:00,"starting soon screen, twitch overlay, animated background, dark fantasy, obs studio, stream setup"
Free Animated Stream Scene — Try One on Your Channel,https://endocraft.app/free/pins/pin_stream_free_scene.jpg,Twitch Overlays & Animated Stream Scenes,"Take one full animated scene and run it on your own channel before you buy anything. Same files, same quality, yours to keep. Cinematic dark fantasy backgrounds for Twitch, YouTube and Kick — download the free scene at endocraft.app.",https://endocraft.app/streamers/?utm_source=pinterest&utm_medium=social&utm_campaign=stream_free_scene,2026-08-07 18:00,"free twitch overlay, free stream background, animated overlay, dark fantasy, twitch freebie, streamer resources"
"Be Right Back, Beside a Bonfire",https://endocraft.app/free/pins/pin_stream_brb.jpg,Twitch Overlays & Animated Stream Scenes,"Soulslike embers burning on loop while you step away from the desk. A Be Right Back screen your chat will actually sit through. Drop the MP4 into OBS as a media source, tick loop, done — 1920 x 1080 at 60 fps.",https://endocraft.app/streamers/?utm_source=pinterest&utm_medium=social&utm_campaign=stream_brb,2026-08-08 18:00,"be right back screen, brb screen, twitch overlay, soulslike, animated background, obs studio"
Your Layout on Top of a Living Scene,https://endocraft.app/free/pins/pin_stream_layout.jpg,Twitch Overlays & Animated Stream Scenes,"The scene runs as your background — webcam, chat box and alerts stay exactly where you put them. Nothing to rebuild, nothing to re-align. Animated dark fantasy backgrounds for Twitch, YouTube and Kick.",https://endocraft.app/streamers/?utm_source=pinterest&utm_medium=social&utm_campaign=stream_layout,2026-08-09 18:00,"twitch layout, stream overlay, animated background, obs scene, streamer setup, dark fantasy"
Turn Just Chatting Into a Dark Fantasy Tavern,https://endocraft.app/free/pins/pin_stream_just_chatting.jpg,Twitch Overlays & Animated Stream Scenes,"Firelight on timber beams, candles guttering, a room that quietly breathes behind you. A Just Chatting scene that gives the whole segment a mood instead of a static picture. Seamless 60 fps loop, no audio, no watermark.",https://endocraft.app/streamers/?utm_source=pinterest&utm_medium=social&utm_campaign=stream_just_chatting,2026-08-10 18:00,"just chatting overlay, twitch overlay, tavern background, dark fantasy, animated stream scene, vtuber background"
Animated Stream Backgrounds for OBS & Streamlabs,https://endocraft.app/free/pins/pin_stream_works_with.jpg,Twitch Overlays & Animated Stream Scenes,"Works with OBS Studio, Streamlabs Desktop, StreamElements, Twitch Studio, XSplit and Restream. Add as a media source, tick loop, done — no plugins, no subscription, no watermark. Instant download at endocraft.app.",https://endocraft.app/streamers/?utm_source=pinterest&utm_medium=social&utm_campaign=stream_works_with,2026-08-11 18:00,"obs studio, streamlabs, streamelements, twitch overlay, animated background, stream setup"
An Alchemist's Desk for Your Intermission Screen,https://endocraft.app/free/pins/pin_stream_intermission.jpg,Twitch Overlays & Animated Stream Scenes,"Candlelight, star-glass and slow-drifting smoke over an alchemist's desk. A break screen people stay for instead of tabbing away. Seamless 1920 x 1080 loop at 60 fps for Twitch, YouTube and Kick.",https://endocraft.app/streamers/?utm_source=pinterest&utm_medium=social&utm_campaign=stream_intermission,2026-08-12 18:00,"intermission screen, twitch overlay, animated background, dark fantasy, d&d stream, stream break screen"
"Stream Scenes for Soulslike, Horror & D&D Streamers",https://endocraft.app/free/pins/pin_stream_for_you.jpg,Twitch Overlays & Animated Stream Scenes,"Built for channels that play in the dark. Cinematic dark fantasy backgrounds — ruined cathedrals, fog-drowned castles, firelit taverns — instead of neon gamer overlays. Six animated scenes, seamless loops, instant download.",https://endocraft.app/streamers/?utm_source=pinterest&utm_medium=social&utm_campaign=stream_for_you,2026-08-13 18:00,"soulslike, horror stream, d&d stream, twitch overlay, dark fantasy, animated background"
End the Stream in a Ruined Cathedral,https://endocraft.app/free/pins/pin_stream_ending.jpg,Twitch Overlays & Animated Stream Scenes,"Light falling through broken glass, dust drifting in the air — the last thing your viewers see before you go offline. A Stream Ending scene that lands the outro. 1920 x 1080, 60 fps, seamless loop.",https://endocraft.app/streamers/?utm_source=pinterest&utm_medium=social&utm_campaign=stream_ending,2026-08-14 18:00,"stream ending screen, outro screen, twitch overlay, animated background, dark fantasy, obs studio"
